S.no,Name of the Enterprise,Address,Primary Contact 1,Primary Contact 2,Primary Contact Mail Id,Primary Contact Number
1550,M/S SRI VIJAYA LAXMI STEEL HOUSE,"Flat No:- 13/85-3, Building:- Vijayalakshmi Towers, Road/Street:- BC Road, Village/Town:- Opp : Taluk Office, Block:- BC Road, City:- Bantwal",M/S SRI VIJAYA LAXMI STEEL HO,,srivijayalakshmisteels@gmail.com,9448123469
1551,M/S MADHU SALES CORPORATION,"Flat No:- 11-11-1169/6(1,2,3), Building:- M S SQUARE, Road/Street:- MANGALURU, Village/Town:- MUKHYAPRANA TEMPLE ROAD, Block:- MANGALURU, City:- MANGALURU",M/S MADHU SALES CORPORATION,,madhuentpsmlr@gmail.com,9243363111
1552,VAISHAK TRADERS,"Flat No:- 11-7-606/1, Building:- MUBARAK TOWERS, Road/Street:- MANGALORE, Village/Town:- BIBI ALABI ROAD, Block:- BUNDER, City:- MANGALORE",SHRI AGALPADY MADHUSOODHAN,,madhuentpsmlr@gmail.com,9243303111
1553,VNR GOLD,"Flat No:- 8-260/7, Building:- SWARNA SOUDHA, Road/Street:- MAIN ROAD, Village/Town:- BANTWAL, Block:- 8-260/7, City:- BANTWAL",SHRI BANTWAL NAGENDRAVASUDEV BALIGA,,vnrgold@gmail.com,9591314199
1554,M PUNDALIKA MALLYA,"Flat No:- 20-1-97, Building:- MANGALORE, Road/Street:- CHAMBER ROAD, Village/Town:- MANGALORE, Block:- BUNDER, City:- MANGALORE",SHRI MANGALORE LAXMINARAYAN MALLYA,,mpmallya2010@gmail.com,9945886677
1555,UDAYA ULLAS MILK AND MILK PRODUCTS,"Flat No:- 21-16/E, Building:- UDAYA ULLAS MILKA ND MILK PRODUCTS, Road/Street:- PANEMANGALORE, Village/Town:- MELKAR, Block:- PANEMANGALORE, City:- PANEMANGALORE",SHRI BANTWAL HEBBALACINKATTE UDAYA PAI,,ullasicacream98@gmail.com,9845487178
1556,SHRI HARI TRANSLINKS,"Flat No:- 179/B1, Building:- INDUSTRIAL AREA, Road/Street:- MANGALORE, Village/Town:- BAIKAMPADY, Block:- INDUSTRIAL AREA, City:- MANGALORE",SHRI SACHIN KUMAR KOTIAN,,sachinkumar_ns@yahoo.co.in,9844993451
1557,M/S SRI ANAGHA MOTORS PRIVATE LIMITED,"Flat No:- 3-T-5/5, Building:- RAJSONS COMPLEX BASEMENT AND GROUND FLOOR, Road/Street:- AIRPORT ROAD, Village/Town:- SHARBATH KATTE, Block:- NEAR KPT, City:- MANGALURU",M/S SRI ANAGHA MOTORS PRIVATE LIMITED,,accounts@srianaghamotors.com,9448479989
1558,M/S SUPRIYA MOTOR INDUSTRIES,"Flat No:- 15-21-1282/1, Building:- SUPRIYA MOTOR INDUSTRIES, Road/Street:- BENDOORWELL, Village/Town:- MANGALORE, Block:- BENDOORWELL 2ND CROSS, City:- MANGALORE",M/S SUPRIYA MOTOR INDUSTRIES,,supriya_motor@yahoo.co.in,9900254234
1559,M/S SRI MAHALINGESHWARA ENTERPRISES,"Flat No:- 1-603, Building:- Mangala layout Urlandy roa, Road/Street:- Urlandy road, Village/Town:- Puttur, Block:- Puttur, City:- Puttur",M/S SRI MAHALINGESHWARA ENTERPRISES,,mahalingeswara.puttur@gmail.com,9448043925
1560,M/S SRI SAI LOGISTICS AND SHIPPING,"Flat No:- DOOR NO.V18-2-41/145, Building:- LOTUS ROVIN, COMMERCIAL PREMISES NO. T-01, Road/Street:- PACHANADY MAIN ROAD, Bondel, Village/Town:- BONDEL, Block:- 3RD FLOOR, City:- MANGALORE",M/S SRI SAI LOGISTICS AND SHIPPING,,accounts@srisaishipping.in,9880806680
1561,SHIVA ENTERPRISES,"Flat No:- opp vijaya bank, Building:- main road kalladka, Road/Street:- kalladka, Village/Town:- kalladka, Block:- bantwal, City:- bantwal",SHRI RAMESH,,rameshak547@gmail.com,7676331870
1562,M/S PANCHAMI AGRO COMMODITIES,"Flat No:- PLOT NO 93 ,3-11Y, Building:- KADLEKERE INDUSTRIES, Road/Street:- MOODBIDRI, Village/Town:- MARPADY VILLAGE, Block:- ALANGAR ROAD, City:- MANGALORE",M/S PANCHAMI AGRO COMMODITIES,,panchamiagrocommadities@gmail.com,9972993227
1563,THOMSON ASSOCIATES,"Flat No:- 2-113/A, Building:- Thomson Associates, Road/Street:- Mundailu Road, Village/Town:- Thotathady, Block:- Belthangady, City:- Belthangady",SHRI BABY THOMAS,,babykasamkattil@gmail.com,9447683267
1564,MAHAVEERA AGENCIES,"Flat No:- 1, Building:- sri rama lodge, Road/Street:- college road, Village/Town:- ujire, Block:- 1, City:- ujire",SHRI PRABHAKARHEGDE,,pabbamahaveera@gmail.com,9480571999
1565,K.V.SHENOY & CO PANEMANGALORE,"Flat No:- 21/65, Building:- K. V . SHENOY &amp; CO PANEMANGALORE, Road/Street:- MELKAR, Village/Town:- PANEMANGALORE, Block:- BANTWAL, City:- BANTWAL",SHRI KUDGI PRAKASH SHENOY,,kvsmelkar@gmail.com,9341116371
1566,M/S VINAYAKA ENGINEERING WORKS,"Flat No:- PLOT NO 254 & 24, Building:- VINAYAKA ENGINEERING WORKS, Road/Street:- 8TH A ROAD, Village/Town:- BAIKAMPADY, Block:- BAIKAMPADY INDUSTRIAL AREA, City:- MANGALORE",M/S VINAYAKA ENGINEERING WORKS,,vinworks7@gmail.com,9448470977
1567,M/S AGRI BASE COMMODITIES,"Flat No:- 2-6(2), Building:- AGRI BASE COMMODITIES, Road/Street:- BADAGAYEDAPADAVU, Village/Town:- POOPADIKAL, Block:- BADAGA YEDAPADAVU, City:- YEDAPADAVU,MANGALORE",M/S AGRI BASE COMMODITIES,,vittalroy@gmail.com,9900449510
1568,S3 ENTERPRISES,"Flat No:- OPP. SARASWATHI RESI, Building:- 2/7-552-2, Road/Street:- MANGALURU, Village/Town:- BEJAI 4 TH CROSS, Block:- BEJAI, City:- MANGALURU",SMT NITU KANWAR,,cakishansen10@gmail.com,9742011431
1569,M/S RATHNA ENTERPRISES,"Flat No:- 6-98,, Building:- Balaji Towers, Road/Street:- Surathkal MRPL Road, Village/Town:- Iddya, Block:- Ward No 6, City:- Mangaluru",M/S RATHNA ENTERPRISES,,rathnashree@yahoo.co.in,9845084466
1570,SEEMON & SONS,"Flat No:- No.25/ICB, Building:- Reliance Retail Outlet, Road/Street:- NH-66, Bangrakulur, Village/Town:- Reliance Retail Outlet, Block:- NH-66, Bangrakulur, City:- Mangaluru",SHRI VELLUKKATTIL ULAHANNAN SEEMON,,vuseemon46@gmail.com,9008351155
1571,M/S P C PAI AND COMPANY,"Flat No:- 4316, Building:- DARBE, Road/Street:- PUTTUR, Village/Town:- PUTTUR, Block:- 4316, City:- PUTTUR",M/S P C PAI AND COMPANY,,pcpai.keshav788@gmail.com,9845763788
1572,M/S YENEPOYA INSTITUTE OF MEDICAL SCIENCE AND RESEARCH PRIVATE LIMITED,"Flat No:- -, Building:- -, Road/Street:- KODIALBAIL, Village/Town:- KODIALBAIL, Block:- KODIALBAIL, City:- MANGALORE",M/S YENEPOYA INSTITUTE OF MEDICAL SCIENCE AND RESEARCH PRIVATE LIMITED,,accounts@yenepoyahospital.com,9108478488
1573,VISHAL ENTERPRISES,"Flat No:- 17-124/1, Building:- GODOWN NO. 3, FERNANDES BROTHERS COMPOUND, Road/Street:- MAROLI KULSHEKAR, Village/Town:- MAROLI KULSHEKAR, Block:- 1, City:- MANGALORE",M/S M/S VISHAL ENTERPRISES,,vishalenterprisesmlore@gmail.com,9916894777
1574,NAVADEEP ENTERPRISE,"Flat No:- 244/1, Building:- Navadeep Enterprise, Road/Street:- Parladka road, Village/Town:- kallimmar, Block:- Navadeep Enterprise, City:- Puttur",SHRI SHIVA KUMAR SHETTY,,shivatblr@gmail.com,9740800009
1575,SRI VEERA VENKATESH TRADING CO.,"Flat No:- 10-17-830/1, Building:- sri veera venkatesh trading co, Road/Street:- bunder, Village/Town:- Mangalore, Block:- bunder, City:- Mangalore",SHRI KRISHNA SHENOY,,sriveeravenkateshtradingco@gmail.com,9008136045
1576,DESIGN POINT,"Flat No:- 31, Building:- KERALA SAMAJAM BUILDING, Road/Street:- K S RAO ROAD, Village/Town:- HAMPANKATTA, Block:- -, City:- MANGALORE",SHRI VIJAYAKUMAR KURUVANKANDY,,DESIGNPOINTPMC@GMAIL.COM,9844042887
1577,M S LOGISTICS,"Flat No:- 3-28/33, Building:- ABCO TRADE CENTRE, Road/Street:- KOTTARA CHOWKI ROAD, Village/Town:- Mangalore, Block:- MANGALORE, City:- MANGALORE",SHRI ABDUL IQBAL,,mslogisticsmlr@gmail.com,9591600172
1578,HPF SEA FOOD SUPPLIERS,"Flat No:- 15-84/112, Building:- BAITHUL HAZRA, Road/Street:- CAICO ROAD, Village/Town:- ULLAL, Block:- ULLAL, City:- MANGALORE",SHRI ULLAL HAMEED,,hameedabbas81234@gmail.com,9902939800
1579,M/S SRI MAHALASA AGENCIES,"Flat No:- 1-n-10-638/5, Building:- chilmbi main road, Road/Street:- chilmbi, Village/Town:- chilmbi, Block:- chilmbi, City:- mangalore",M/S SRI MAHALASA AGENCIES,,srimahalasaagency@gmail.com,9845175093
1580,BHARATH METAL SUPPLIERS,"Flat No:- 10-7-258, Building:- NEAR CANARA GOODS TRANSPORT, Road/Street:- BIBI ALABI ROAD, Village/Town:- MANGALORE, Block:- BUNDER, City:- MANGALORE",SHRI CHERUR AZADI MAHAL ABDULLA,,capgk1950@yahoo.in,9480055261
1581,M/S RAITABANDHU AHARODYAM PRIVATE LIMITED,"Flat No:- -, Building:- -, Road/Street:- maruthipura kaniyur, Village/Town:- belthanagady, Block:- -, City:- Belthangady",M/S RAITABANDHU AHARODYAM PRIVATE LIMITED,,raitabandhumrp@gmail.com,9731777753
1582,GENERAL TRADING COMPANY,"Flat No:- 3-144, Building:- KAMMADY BUILDING, Road/Street:- ARYAPU SAMPYA, Village/Town:- ARYAPU, Block:- ARYAPU, City:- PUTTUR",SHRI AFRAZ KANTHADKA,,gstkrish17@gmail.com,9900977365
1583,ALFATH TRADING & CONTRACTORS,"Flat No:- 20-8,, Building:- PETE HOUSE, Road/Street:- NEAR KASHI MUTT, Village/Town:- SURATHKAL, Block:- SURATHKAL, City:- MANGALORE",SHRI SURATHKAL ANWAR SHADATH,,anwar.sadath45@yahoo.in,9980851512
1584,TIRUMALA MOTORS,"Flat No:- S NO 280-1B2,19-1A3,, Building:- S NO 280-1B2,19-1A3,, Road/Street:- By Pass Junction, Village/Town:- Bolwar West, Block:- Bolwar West, City:- Puttur",SHRI KRISHNAKISHORE NOOJIBAIL THIRUMALESHWARA,,tirumalahonda3@gmail.com,9448481766
1585,M/S SHASHANK CASHEW INDUSTRIES,"Flat No:- D.NO.2-143, Building:- PILATHABETTU, Road/Street:- NAINADU, Village/Town:- PILATHABETTU, Block:- NAINADU, City:- BANTWALA",M/S SHASHANK CASHEW INDUSTRIES,,sales@yajamana.com,9449038844
1586,SHRI LAKSHMI VENKATARAMANA CASHEW RURAL INDUSTRIES,"Flat No:- D. NO.1-83-4, Building:- MAVINAKATTE, Road/Street:- BANTWALA, Village/Town:- CHENNAITHODI, Block:- VAMADAPADAVU, City:- MANGALORE",SMT SUMANA PRABHU,,sales@yajamana.com,9880888844
1587,M/S VISHNUPRIYA CASHEW INDUSTRIES,"Flat No:- KD 1-78, Building:- KADABETTU, Road/Street:- VOGGA, Village/Town:- KADABETTU, Block:- VOGGA, City:- BANTWALA",M/S VISHNUPRIYA CASHEW INDUSTRIES,,sales@yajamana.com,9880888844
1588,M/S HINDUSTAN PETROLEUM SERVICES,"Flat No:- -, Building:- M/S HINDUSTAN PETROLEUM SERVICES, Road/Street:- KADABA MAIN ROAD, Village/Town:- KADABA, Block:- -, City:- PUTTUR",M/S HINDUSTAN PETROLEUM SERVICES,,HPSKADABA@GMAIL.COM,9480351856
1589,BHAVANI ENTERPRISES,"Flat No:- G-1-303, Building:- HOSAKATTE SANKEERNA, Road/Street:- KALLADKA, Village/Town:- GOLTHAMAJALU, Block:- kalladka, City:- BANTWAL TALUK",SHRI ALPESH KUMAR RATILAL MEGHPARA,,csckalladka5@gmail.com,9448492884
1590,M/S PRASANNA EDUCATION TRUST,"Flat No:- Opposite Govt. Hospi, Building:- Sai Prasanna, Road/Street:- Santhekatte, Village/Town:- Belthangady, Block:- Belthangady, City:- Belthangady",M/S PRASANNA EDUCATION TRUST,,pet5014@gmail.com,9448130113
1591,UDAYA KUMAR / VIJI CONDIMENTS,"Flat No:- VIJI CONDIMENTS, Building:- 4-2/2/1, Road/Street:- MADUR, Village/Town:- KOTEKAR POST, Block:- ., City:- MANGALORE",SHRI UDAYA KUMAR,,udhayakumar162013@gmail.com,9449642146
1592,KASTURI UDYOG,"Flat No:- 4-77/5, Building:- Sri Ramakrishna Oil Mills Compound, Road/Street:- Boloor, Village/Town:- Boloor, Block:- 1, City:- Mangalore",SHRI PAI KASTURI PRABODH,,yathiraj@kasturiroup.com,9845081688
1593,SHARP ENTERPRISES,"Flat No:- Plot No 11A, Building:- Sharp Enterprises, Road/Street:- Beach Road, Village/Town:- MANGALORE, Block:- Panambur, City:- Mangalore",SHRI JETHALAL MEGHAJIBHAI PATEL,,jmpmlr@gmail.com,9844073171
1594,M/S C ABDULLA AND CO,"Flat No:- 113 63, Building:- COMMERCE CENTRE, Road/Street:- KULOOR KAVOOR ROAD, Village/Town:- KULOOR, Block:- 2 KULLOOR, City:- MANGALORE",M/S C ABDULLA AND CO,,acctsabdulla@gmail.com,9739955555
1595,DATTA PRASAD BUILDERS,"Flat No:- 8/114/51, Building:- DATTA PRASAD APARTMENT, Road/Street:- 6TH CROSS, KODIAL GUTTU, Village/Town:- NEAR VEERA RESIDENCY, Block:- NEAR VEERA RESIDENCY, City:- MANGALORE",SHRI AVINASH ANCHAN,,dattaprasadbuilders@gmail.com,9164697272
1596,SAMRUDDHI FIDELITY SERVICES,"Flat No:- DNO.5-10-1040/33, Building:- R G COMPLEX, ALAKE, Road/Street:- KUDROLI TEMPLE ROAD, Village/Town:- KUDROLI, Block:- ALAKE, City:- MANGALORE",SHRI DHEERAJ,,samruddhifedility@gmail.com,9343836799
1597,M/S BHANDARY SCHOOL BOOK PRIVATE LIMITED,"Flat No:- D. NO.9-16-622/43, Building:- BHANDARY SCHOOL BOOK PRIVATE LIMITED, Road/Street:- AZIZUDDIN ROAD, Village/Town:- BUNDER, Block:- (A BLOCK), City:- MANGALORE",M/S BHANDARY SCHOOL BOOK PRIVATE LIMITED,,admin@schoolbook.co,9448144777
1598,M/S RAI ENTERPRISES,"Flat No:- 4-218/2, Building:- Rai Enterprises, Road/Street:- Pejavara Post, Village/Town:- Kenjaru, Block:- Kenjaru, City:- Mangaluru",M/S RAI ENTERPRISES,,raienterprises1234@gmail.com,9686556650
1599,M/S DIGITRONICS,"Flat No:- DOOR NO 12-1-7/7&amp, Building:- POONAM SALIGRAM, Road/Street:- BEHIND CANARA HIGH SCHOOL, Village/Town:- DONGERKERY, Block:- DONGERKERY, City:- MANGALORE",M/S DIGITRONICS,,digitronicsmng@yahoo.in,9844281977
1600,PET CHOICE,"Flat No:- D NO 4-2-71E, Building:- SHREE VASANTHI, Road/Street:- NAIRKERE ROAD, Village/Town:- AMBALPADI, Block:- AMBALPADI, City:- UDUPI",SHRI KIRAN KUMAR HERIKUDRU,,PETCHOICEUDUPI@GMAIL.COM,9448133325
1601,M/S MANMET ENGINEERING PRODUCTS PVT LTD,"Flat No:- N 2-3, Building:- MANMET ENGINEERING PRODUCTS PVT LIMITED, Road/Street:- BAIKAMPADY INDUSTRIAL ESTATE, Village/Town:- BAIKAMPADY INDUSTRIAL ESTATE, Block:- N 2-3, City:- NEW MANGALORE",M/S MANMET ENGINEERING PRODUCTS PVT LTD,,vishal@lamina.co.in,9845081679
1602,M/S IBF ENGINEERING SERVICES PRIVATE LIMITED,"Flat No:- No. 19 &amp; 20, Building:- 2nd Floor, Gousia Complex, Road/Street:- NH 66, Main road, Village/Town:- Surathkal, Block:- Opp. Service Bustand, City:- Mangaluru",M/S IBF ENGINEERING SERVICES PRIVATE LIMITED,,ibf.engineeringservices@gmail.com,7676565638
1603,M/S ALPHA ELECTRICALS,"Flat No:- 4-9-762/5, Building:- MANASA TOWERS, Road/Street:- KS RAO ROAD, Village/Town:- PVS CIRCLE, Block:- KODIALBAIL, City:- MANGALORE",M/S ALPHA ELECTRICALS,,alpha.electricals17@gmail.com,7975069632
1604,PRAGATHI TOURIST CORPORATION,"Flat No:- Shop no 10 GROUND Fl, Building:- Bejai Market building 3rd Ward, Road/Street:- Bejai Market Road, Village/Town:- Bejai, Block:- Bejai Market Road, City:- Mangalore",SHRI MOHAMMED HASHIM,,PRAGATHIBUS@GMAIL.COM,9845084433
1605,M/S SRI DURGA LABORATORY EQUIPMENT SUPPLIES,"Flat No:- 1-N-10-638/6, Building:- RAVISUMAN, Road/Street:- CHILMBI, Village/Town:- MANGALORE, Block:- chilmbi, City:- MANGALORE",M/S SRI DURGA LABORATORY EQUIPMENT SUPPLIES,,durgalabmng@gmail.com,9343565805
1606,RATHNA'S WINE GATE,"Flat No:- 16-6-304/A,1,2, Building:- EMJAYS COMPLEX, Road/Street:- BALMATTA ROAD, Village/Town:- BALMATTA, Block:- GROUND FLOOR, City:- MANGALURU",SHRI DARBE RAMESH NAIK,,rathnashree@yahoo.co.in,9845084466
1607,M/S CILA ADVERTISERS,"Flat No:- FF-01, Building:- SOUZA ARCADE, Road/Street:- BALMATTA ROAD, Village/Town:- BALMATTA, Block:- FIRST FLOOR, City:- MANGALORE",M/S CILA ADVERTISERS,,cilaadvertisers@gmail.com,9845080673
1608,SAHYADRI DISTRIBUTORS,"Flat No:- 2-123/2, Building:- SAHYADRI DISTRIBUTORS, Road/Street:- OPP RAGHAVENDRA SWAMI TEMPLE, Village/Town:- KAVOOR, Block:- PANJIMOGARU, City:- MANGALORE",SHRI SAVANUR RAVIKUMAR,,bhaskarshamu@gmail.com,9844090923
1609,BENAKA HEALTH CENTRE,"Flat No:- 9-109/3, Building:- BENAKA HEALTH CENTRE, Road/Street:- UJIRE ROAD, Village/Town:- UJIRE, Block:- -, City:- UJIRE",SHRI KAIRANDA GOPALAKRISHNA,,benaka.health@gmail.com,9448153242
1610,SHANKER VITTAL MARVELS LIMITED,"Flat No:- 17-17-306/2(1), Building:- SHANKER VITTAL MARVELS LIMITED, Road/Street:- ATTAVAR, Village/Town:- NANDIGUDDA ROAD, Block:- NANDIGUDDA ROAD, City:- MANGALORE",M/S THE SHANKER VITTAL MOTOR CO LTD,,aroorprasadrao@hotmail.com,9837080109
1611,M/S S L SHET DIAMOND HOUSE,"Flat No:- 6-3-74,75,75/1-5, Building:- OPP MANGALA SWIMMING POOL, Road/Street:- KULUR FERRY ROAD, Village/Town:- LADYHILL CIRCLE, GANDHI NAGAR, Block:- 1, City:- MANGALORE",M/S S L SHET DIAMOND HOUSE,,SLSHETDIAMONDHOUSE1947@GMAIL.COM,9845658555
1612,NATURAL SPICES,"Flat No:- MULIYADKA, Building:- MULIYADKA, Road/Street:- PUTTUR, Village/Town:- OLAMOGRU VILLAGE, Block:- PUTTUR, City:- PUTTUR",SHRI ABDUL RAHIMAN MULIYADKA,,rahimanmuliyadka@gmail.com,9606716144
1613,M/S SHRI KRISHNA SANITARY,"Flat No:- 3W-1-14/6, Building:- SHRI KRISHNA SANITARY, Road/Street:- OPP BEJAI CHURCH HALL, Village/Town:- BEJAI, Block:- BEJAI, City:- MANGALURU",M/S SHRI KRISHNA SANITARY,,shrikrishnasanitary@gmail.com,9945560886
1614,M/S BELL PAINTS,"Flat No:- 243, Building:- Bell Paints, Road/Street:- KIADB INDUSTRIAL AREA, Village/Town:- Baikampady, Block:- 243, City:- MANGALORE",M/S BELL PAINTS,,bellpaints1@gmail.com,9945270926
1615,SHUBHAM ELECTRICAL AND INDUSTRIAL SUPPLIES,"Flat No:- 8-3-187/22, Building:- JAYARAM BUILDING, Road/Street:- KUDROLI, Village/Town:- KUDROLI TEMPLE ROAD, Block:- KUDROLI, City:- MANGALORE",SHRI PUTTUR PRASHANTH,,shubhamelec2020@gmail.com,7019417321
1616,M/S T K ENTERPRISES,"Flat No:- 1-63/1, Building:- NEAR KANNUR POST OFFICE, Road/Street:- KANNUR, Village/Town:- MANGALORE, Block:- NEAR POST OFFICE, City:- MANGALORE",M/S T K ENTERPRISES,,acctkenterprises@gmail.com,9845530999
1617,M/S KUBERA CORPORATES PRIVATE LIMITED,"Flat No:- 4-166/19, Building:- KUBERA CORPORATES, Road/Street:- DANDEKERI ROAD, Village/Town:- YEYYADI, Block:- PADAVU, City:- MANGALORE",M/S KUBERA CORPORATES PRIVATE LIMITED,,prakyathraj@gmail.com,7259350141
1618,PRASAD POWER ENGINEERS,"Flat No:- 05-64/2, Building:- PRASAD POWER ENGINEERS, Road/Street:- YEYYADI, Village/Town:- MANGALORE, Block:- ., City:- MANGALORE",SHRI SHYAMA PRASAD BEERANTHADKA,,shyamaprasadbeeranthadka@gmail.com,9448142217
1619,M/S S P PETROLEUM,"Flat No:- 8-26/1 HALEPETE, Building:- HALEPETE, Road/Street:- UJIRE, Village/Town:- UJIRE, Block:- 8-26/1, City:- MANGALORE",M/S S P PETROLEUM,,PREMSHETTIGAR56@GMAIL.COM,9448843440
1620,M/S DAYAA ENTERPRISES,"Flat No:- DAYAA ENTERPRISES, Building:- THE MISCHIEF MALL, Road/Street:- HAMPANKATTA, Village/Town:- K S RAO ROAD, Block:- K S ROA ROAD, City:- MANGALURU",M/S DAYAA ENTERPRISES,,dayaaenterprises@gmail.com,9686687787
1621,M/S NDSONS ENGINEERS PRIVATE LIMITED,"Flat No:- Plot No 93, 87/1, Building:- KIADB Industrial Area, Road/Street:- Road No 10, Village/Town:- Baikampady, Block:- Baikampady, City:- Mangalore",M/S NDSONS ENGINEERS PRIVATE LIMITED,,mdp@ndsons.com,9686696091
1622,TIMWOOD TRADING,"Flat No:- Plot No 11A, Building:- Beach Road, Road/Street:- Panambur, Village/Town:- Panambur, Block:- Beach Road, City:- Mangalore",SHRI MOHIT JETHALAL PATEL,,mohitpatel9@gmail.com,9900098586
1623,M/S NIXIES METERS PRIVATE LIMITED,"Flat No:- Sy. No 81-1B Portion, Building:- EPIP Industrial Area, Road/Street:- Gurupura Hobli, Village/Town:- Badagaulipady Village Ganjimat, Block:- Block No 32, City:- Mangalore",M/S NIXIES METERS PRIVATE LIMITED,,shruthap@gmail.com,9900302764
1624,GUARDIAN INFRASTRUCTURE BUILDERS AND DEVELOPERS,"Flat No:- D No.2-13-1148/17, Building:- Shanthala, Road/Street:- Annegundi , Mangalore, Village/Town:- Bejai, Block:- 0, City:- Bejai",SHRI GANESH MAKKIHALLY PUTTASHETTY,,guardianinfrastructure@gmail.com,9880137911
1625,SRI MAHAGANAPATHI TRANSPORT,"Flat No:- 10-20-996, Building:- ANSARI ROAD, Road/Street:- ANSARI ROAD, Village/Town:- BUNDER, Block:- na, City:- MANGALORE",SHRI MANGALPADY SHASHIDHAR SHETTY,,shashidharmshetty@gmail.com,9449858501
1626,1. SOORYA TRANSPORTERS & TRADERS 2. S K TRADING,"Flat No:- -, Building:- N J ARCADE, Road/Street:- -, Village/Town:- Ladyhill, Block:- 2nd Floor, First office, City:- Mangalore",SHRI SAMPATH SHASHIDHARA SHETTY,,sampathshettys@yahoo.com,8151911144
1627,KARNATAKA ENTERPRISES,"Flat No:- 20-1-16/1, Building:- PERSIAN POINT, Road/Street:- AZIZUDDIN ROAD, Village/Town:- MANGALORE, Block:- BUNDER, City:- MANGALORE",SHRI YUSUF KANWATHIRTHA,,yusufk99r@gmail.com,8310188732
1628,JILU BIKES,"Flat No:- 2-6-302/3, Building:- JILU AUTO GAS, Road/Street:- KUNTIKANA, Village/Town:- OPP. A J HOSPITAL, Block:- KUNTIKANA JUNCTION, City:- MANGALURU",SHRI XAVIER ANTONY SUNIL,,jiluautogas@gmail.com,9845127397
1629,M/S SHREE ULKA LLP,"Flat No:- IP 48 Part A &amp; B, Building:- SHREE ULKA LLP, Road/Street:- Msez corridor, Village/Town:- Permude, Block:- ., City:- Mangalore",M/S SHREE ULKA LLP,,rajurohakale@ulkaseafoods.in,9833072270
1630,BAVA TRADERS,"Flat No:- Bava Traders, Building:- AL AZHARIA BUILDING, Road/Street:- AZIZUDDIN ROAD, Village/Town:- BUNDER, Block:- 20-2-185, City:- mangalore",SHRI ANWAR HUSSAIN MOHAMMED,,anwarbtr@gmail.com,8618035935
1631,M/S LCODE TECHNOLOGIES PRIVATE LIMITED,"Flat No:- Flat no.304, Building:- Ibrose Apartments, Road/Street:- Jail Road to MG Road, Village/Town:- Kodialbail, Block:- Kodialbail, City:- Mangalore",M/S LCODE TECHNOLOGIES PRIVATE LIMITED,,rajendrashenoy@lcodetechnologies.com,9731152585
1632,M/S SHUKRIYA AGENCIES,"Flat No:- 2-69, Building:- KUMPALA BYE PASS, Road/Street:- KUMPALA, Village/Town:- THOKKOTTU, Block:- THOKKOTTU, City:- MANGALORE",M/S SHUKRIYA AGENCIES,,nizzam2033@gmail.com,9844788888
1633,ANURAG BAR AND RESTAURANT,"Flat No:- 1-20, Building:- ANURAG BAR AND RESTAURANT, Road/Street:- PERMANNUR, Village/Town:- THOKKOTU, Block:- THOKKOTU, City:- MANGALURU",SHRI ULLAL RAVINDRA,,ravindra.anuragh@gmail.com,9741472363
1634,MADHUVAN BAR AND RESTAURANT,"Flat No:- 5-11-1056, Building:- SUPREME ENTERPRIZES, Road/Street:- G.G.ROAD, Village/Town:- MANGALURU, Block:- KODIALBAIL, City:- MANGALURU",SHRI ROBERT JOSEPH DSOUZA,,madhuvillage@gmail.com,9845084123
1635,NAVEEN,"Flat No:- 5-5/6, Building:- MAHADEVI KRIPA, Road/Street:- PADIL, Village/Town:- PADIL POST, Block:- MANGALORE, City:- MANGALORE",SHRI NAVEEN,,mahadevi.naveen@gmail.com,9035587101
1636,M/S SHREE MARUTHI ASSOCIATES,"Flat No:- C-9, B-1 ANNEXE, Building:- OLYMPUS REFRIGERATION INC, Road/Street:- INDUSTRIAL ESTATE, YEYYADI, Village/Town:- YEYYADI, Block:- YEYYADI, City:- MANGALORE",M/S SHREE MARUTHI ASSOCIATES,,shreemaruthi9710@gmail.com,9448121710
1637,M/S. ASHLY HARDWARE & STEELS,"Flat No:- 5-53/2, Building:- ASHLY HARDWARE &amp; STEELS, Road/Street:- NEAR MENDES SQUARE BEHIND POST, Village/Town:- Moodubidri, Block:- Moodubidri, City:- Moodubidri",SHRI ROHAN RAJESH MENDES,,ashlyhardware@yahoo.com,9448253572
1638,M/S SHREEMARUTI TRADING COMPANY,"Flat No:- C-9, B-1 ANNEXE, Building:- OLYMPUS REFRIGERATION INC, Road/Street:- INDUSTRIAL ESTATE YEYYADI, Village/Town:- YEYYADI, Block:- YEYYADI, City:- MANGALORE",M/S SHREEMARUTI TRADING COMPANY,,shreemaruthi710@gmail.com,9448121710
1639,MAHALAXMI AUTO DISTRIBUTORS,"Flat No:- 3-76/17, Building:- N.H-66, Road/Street:- -, Village/Town:- K K GARDEN LOWER MAROLI, Block:- -, City:- MANGALORE",SHRI BANTARA THYAMANNA RAI VENKATESHRAI,,balajitradingcompany333@gmail.com,9448721023
1640,M/S CANARA FUELS AND SERVICES,"Flat No:- 3-358, Building:- CANARA FUELS AND SERVICES, Road/Street:- KAIKAMBA, Village/Town:- BADAGULIPADY, Block:- 1, City:- MANGALORE",M/S CANARA FUELS AND SERVICES,,CANARAFUELS@GMAIL.COM,9743774565
